time,traffic_light_id,phase_duration,green_count,yellow_count,red_count,junction_pressure,average_network_pressure,control_type
30,1039403582,38.0,2,0,3,0,0.0,adaptive
30,10660932971,77.0,2,0,0,0,0.0,adaptive
30,1128187477,5.0,2,0,0,0,0.0,adaptive
30,1128191446,5.0,2,0,0,0,0.0,adaptive
30,1128192254,5.0,2,0,0,0,0.0,adaptive
30,1144975928,5.0,2,0,0,0,0.0,adaptive
30,12106210811,38.0,3,0,4,0,0.0,adaptive
30,127658086,40.0,8,0,8,0,0.0,adaptive
30,127658294,39.0,8,0,8,0,0.0,adaptive
30,3172210940,38.0,4,0,3,0,0.0,adaptive
30,3340955133,29.0,1,0,2,0,0.0,adaptive
30,3531016717,5.0,3,0,0,0,0.0,adaptive
30,3550884979,5.0,3,0,0,0,0.0,adaptive
30,3550884980,5.0,3,0,0,0,0.0,adaptive
30,3646111627,77.0,2,0,0,0,0.0,adaptive
30,3646111630,77.0,2,0,0,0,0.0,adaptive
30,4324726612,77.0,2,0,0,0,0.0,adaptive
30,4506239338,5.0,2,0,0,0,0.0,adaptive
30,4944691776,38.0,3,0,4,0,0.0,adaptive
30,5333484044,40.0,8,0,3,0,0.0,adaptive
30,619152185,38.0,3,0,2,0,0.0,adaptive
30,645091738,39.0,3,0,2,0,0.0,adaptive
30,671432767,77.0,3,0,0,0,0.0,adaptive
30,671432770,77.0,2,0,0,0,0.0,adaptive
30,672817127,78.0,1,0,0,0,0.0,adaptive
30,8594002901,5.0,2,0,0,0,0.0,adaptive
30,8594011465,5.0,2,0,0,0,0.0,adaptive
30,9918517205,38.0,4,0,3,0,0.0,adaptive
30,cluster_10089844686_10660932931,39.0,10,0,9,0,0.0,adaptive
30,cluster_10219043266_10219043267_3152507940_3152507942_#1more,25.0,9,0,7,0,0.0,adaptive
30,cluster_10219043268_10219043269_1307349909_3152504914_#2more,39.0,10,0,8,0,0.0,adaptive
30,cluster_10219043274_10219043275_10219043276_10219043277_#6more,38.0,9,0,5,0,0.0,adaptive
30,cluster_10219043281_10219043283_10219043284_618528183_#2more,32.0,10,0,5,0,0.0,adaptive
30,cluster_10219054419_10219054420_635166201_662848128,38.0,14,0,10,0,0.0,adaptive
30,cluster_10261690663_10261690664_2094306205_403875011_#2more,39.0,10,0,4,0,0.0,adaptive
30,cluster_10555850724_619274591,77.0,3,0,0,0,0.0,adaptive
30,cluster_10555850725_619274598,77.0,2,0,0,0,0.0,adaptive
30,cluster_10660932937_10660933004,39.0,8,0,3,0,0.0,adaptive
30,cluster_10660932949_10660932992,39.0,10,0,8,0,0.0,adaptive
30,cluster_10660932965_10660932981_10660932982_10660932983,39.0,10,0,8,0,0.0,adaptive
30,cluster_10660932989_4086342990,39.0,8,0,3,0,0.0,adaptive
30,cluster_10660933002_6661798460,39.0,8,0,3,0,0.0,adaptive
