vehicle_id,system_type,depart_time,arrival_time,duration,waiting_time,time_loss,route_length,average_speed,waiting_ratio,delay_ratio
50,fixed,75.0,519.0,444.0,334.0,360.65,1041.79,2.346373873873874,0.7522522522522522,0.8122747747747747
232,fixed,348.0,519.0,171.0,0.0,18.25,1452.23,8.492573099415205,0.0,0.1067251461988304
293,fixed,440.0,519.0,79.0,0.0,15.68,901.94,11.416962025316456,0.0,0.19848101265822785
7,fixed,11.0,520.0,509.0,0.0,47.09,4515.32,8.870962671905698,0.0,0.0925147347740668
106,fixed,159.0,525.0,366.0,189.0,223.08,2283.86,6.240054644808744,0.5163934426229508,0.6095081967213115
85,fixed,128.0,528.0,400.0,269.0,294.29,1634.25,4.085625,0.6725,0.7357250000000001
127,fixed,191.0,541.0,350.0,97.0,125.24,2678.73,7.6535142857142855,0.27714285714285714,0.35782857142857144
58,fixed,87.0,550.0,463.0,301.0,317.67,1789.86,3.8657883369330452,0.6501079913606912,0.6861123110151188
115,fixed,173.0,553.0,380.0,207.0,251.93,1468.53,3.864552631578947,0.5447368421052632,0.6629736842105264
88,fixed,132.0,561.0,429.0,251.0,318.85,1215.61,2.8335897435897435,0.585081585081585,0.7432400932400933
3,fixed,5.0,563.0,558.0,344.0,407.69,2484.02,4.451648745519713,0.6164874551971327,0.7306272401433692
168,fixed,252.0,564.0,312.0,125.0,172.46,1550.99,4.971121794871795,0.40064102564102566,0.5527564102564103
99,fixed,149.0,572.0,423.0,100.0,162.21,3597.49,8.504704491725768,0.2364066193853428,0.38347517730496455
243,fixed,365.0,576.0,211.0,95.0,121.44,1131.73,5.363649289099526,0.45023696682464454,0.5755450236966825
135,fixed,203.0,578.0,375.0,0.0,40.88,3972.09,10.59224,0.0,0.10901333333333334
219,fixed,329.0,580.0,251.0,0.0,24.68,2166.93,8.633187250996015,0.0,0.09832669322709163
363,fixed,545.0,584.0,39.0,0.0,5.7,349.18,8.953333333333333,0.0,0.14615384615384616
290,fixed,435.0,587.0,152.0,0.0,15.12,1490.88,9.80842105263158,0.0,0.09947368421052631
48,fixed,72.0,590.0,518.0,353.0,382.06,1809.09,3.4924517374517374,0.6814671814671814,0.7375675675675676
123,fixed,185.0,590.0,405.0,121.0,160.57,3473.32,8.5760987654321,0.29876543209876544,0.3964691358024691
332,fixed,498.0,590.0,92.0,17.0,38.12,652.06,7.0876086956521736,0.18478260869565216,0.41434782608695647
261,fixed,392.0,591.0,199.0,2.0,33.25,1811.68,9.10391959798995,0.010050251256281407,0.1670854271356784
163,fixed,245.0,597.0,352.0,128.0,189.7,2420.79,6.877244318181818,0.36363636363636365,0.5389204545454546
14,fixed,21.0,600.0,579.0,397.0,452.9,1772.84,3.0618998272884284,0.6856649395509499,0.7822107081174439
151,fixed,227.0,604.0,377.0,178.0,222.13,1818.27,4.822997347480106,0.47214854111405835,0.5892042440318302
72,fixed,108.0,610.0,502.0,308.0,358.55,1838.79,3.6629282868525896,0.6135458167330677,0.7142430278884463
114,fixed,171.0,610.0,439.0,263.0,310.59,2090.0,4.760820045558087,0.5990888382687927,0.7074943052391799
296,fixed,444.0,610.0,166.0,61.0,93.0,1325.86,7.987108433734939,0.3674698795180723,0.5602409638554217
354,fixed,531.0,611.0,80.0,0.0,11.96,553.07,6.913375,0.0,0.14950000000000002
64,fixed,96.0,613.0,517.0,97.0,152.67,3750.54,7.254429400386847,0.18762088974854932,0.2952998065764023
153,fixed,230.0,613.0,383.0,144.0,178.68,2181.53,5.695900783289818,0.37597911227154046,0.46652741514360313
191,fixed,287.0,615.0,328.0,159.0,188.86,1398.62,4.264085365853658,0.4847560975609756,0.5757926829268293
281,fixed,422.0,620.0,198.0,88.0,117.22,1345.48,6.795353535353535,0.4444444444444444,0.592020202020202
2,fixed,3.0,622.0,619.0,391.0,435.12,2705.54,4.370823909531502,0.6316639741518578,0.702940226171244
375,fixed,563.0,623.0,60.0,0.0,11.77,191.93,3.1988333333333334,0.0,0.19616666666666666
161,fixed,242.0,624.0,382.0,5.0,67.61,3963.15,10.374738219895288,0.013089005235602094,0.1769895287958115
65,fixed,98.0,625.0,527.0,266.0,307.24,2627.63,4.986015180265655,0.5047438330170778,0.5829981024667932
230,fixed,345.0,629.0,284.0,204.0,239.52,599.69,2.1115845070422536,0.7183098591549296,0.8433802816901409
111,fixed,167.0,632.0,465.0,219.0,261.61,2170.42,4.667569892473119,0.47096774193548385,0.5626021505376344
95,fixed,143.0,633.0,490.0,271.0,339.34,2119.53,4.325571428571429,0.5530612244897959,0.6925306122448979
368,fixed,552.0,633.0,81.0,27.0,38.73,426.76,5.2686419753086415,0.3333333333333333,0.4781481481481481
30,fixed,45.0,634.0,589.0,402.0,465.52,1889.17,3.2074193548387098,0.6825127334465195,0.7903565365025467
206,fixed,309.0,635.0,326.0,149.0,189.15,2064.04,6.331411042944785,0.4570552147239264,0.5802147239263804
335,fixed,503.0,635.0,132.0,0.0,18.51,959.93,7.272196969696969,0.0,0.14022727272727273
98,fixed,147.0,638.0,491.0,321.0,376.59,1657.14,3.375030549898167,0.6537678207739308,0.7669857433808553
237,fixed,356.0,642.0,286.0,0.0,45.97,1560.03,5.45465034965035,0.0,0.16073426573426572
93,fixed,140.0,645.0,505.0,191.0,260.36,3176.28,6.289663366336634,0.3782178217821782,0.5155643564356436
110,fixed,165.0,645.0,480.0,159.0,214.31,3982.75,8.297395833333333,0.33125,0.44647916666666665
406,fixed,609.0,646.0,37.0,0.0,5.24,241.08,6.515675675675676,0.0,0.14162162162162162
223,fixed,335.0,649.0,314.0,76.0,136.0,2097.31,6.679331210191083,0.24203821656050956,0.43312101910828027
76,fixed,114.0,650.0,536.0,339.0,384.66,1920.07,3.582220149253731,0.6324626865671642,0.7176492537313434
315,fixed,473.0,651.0,178.0,21.0,49.92,1876.0,10.539325842696629,0.11797752808988764,0.2804494382022472
202,fixed,303.0,652.0,349.0,206.0,244.58,1214.61,3.4802578796561603,0.5902578796561605,0.7008022922636103
297,fixed,446.0,654.0,208.0,23.0,40.42,1773.61,8.526971153846153,0.11057692307692307,0.1943269230769231
52,fixed,78.0,655.0,577.0,295.0,368.22,3399.94,5.892443674176777,0.511265164644714,0.6381629116117852
218,fixed,327.0,658.0,331.0,22.0,55.53,3105.36,9.381752265861028,0.06646525679758308,0.1677643504531722
24,fixed,36.0,661.0,625.0,201.0,239.86,3561.6,5.69856,0.3216,0.383776
386,fixed,579.0,663.0,84.0,0.0,14.05,826.78,9.842619047619047,0.0,0.16726190476190478
269,fixed,404.0,664.0,260.0,92.0,117.2,1604.14,6.169769230769231,0.35384615384615387,0.45076923076923076
277,fixed,416.0,666.0,250.0,1.0,32.94,2789.11,11.15644,0.004,0.13176
259,fixed,389.0,669.0,280.0,113.0,142.54,1261.42,4.505071428571429,0.4035714285714286,0.5090714285714285
361,fixed,542.0,676.0,134.0,0.0,17.21,1122.88,8.379701492537315,0.0,0.12843283582089554
60,fixed,90.0,677.0,587.0,337.0,384.69,2617.9,4.459795570698467,0.5741056218057922,0.6553492333901193
87,fixed,131.0,678.0,547.0,421.0,455.93,1362.98,2.4917367458866546,0.7696526508226691,0.8335100548446069
319,fixed,479.0,680.0,201.0,0.0,24.65,1711.63,8.515572139303483,0.0,0.122636815920398
175,fixed,263.0,682.0,419.0,206.0,264.67,1724.18,4.1149880668257754,0.4916467780429594,0.6316706443914082
233,fixed,350.0,683.0,333.0,116.0,180.18,2267.46,6.80918918918919,0.3483483483483483,0.5410810810810811
41,fixed,62.0,686.0,624.0,351.0,396.85,2607.46,4.178621794871795,0.5625,0.6359775641025641
75,fixed,113.0,689.0,576.0,368.0,408.64,1839.98,3.1944097222222223,0.6388888888888888,0.7094444444444444
125,fixed,188.0,689.0,501.0,186.0,299.28,3342.29,6.6712375249501,0.3712574850299401,0.5973652694610778
278,fixed,417.0,690.0,273.0,59.0,103.47,1978.1,7.245787545787546,0.21611721611721613,0.379010989010989
195,fixed,293.0,699.0,406.0,80.0,137.11,2245.72,5.531330049261083,0.19704433497536947,0.33770935960591136
300,fixed,450.0,699.0,249.0,30.0,65.47,2823.28,11.33847389558233,0.12048192771084337,0.2629317269076305
74,fixed,111.0,708.0,597.0,261.0,335.28,3654.07,6.120720268006701,0.4371859296482412,0.561608040201005
271,fixed,407.0,711.0,304.0,41.0,74.41,2213.43,7.281019736842104,0.13486842105263158,0.24476973684210526
345,fixed,518.0,712.0,194.0,57.0,91.81,1040.48,5.363298969072165,0.29381443298969073,0.47324742268041237
68,fixed,102.0,718.0,616.0,353.0,425.22,2635.2,4.277922077922078,0.573051948051948,0.6902922077922078
164,fixed,246.0,720.0,474.0,116.0,201.46,3485.05,7.352426160337553,0.24472573839662448,0.4250210970464135
234,fixed,351.0,727.0,376.0,137.0,181.39,1762.16,4.686595744680852,0.36436170212765956,0.4824202127659574
241,fixed,362.0,728.0,366.0,110.0,177.51,2153.07,5.882704918032787,0.3005464480874317,0.485
288,fixed,432.0,731.0,299.0,3.0,49.38,3221.82,10.775317725752508,0.010033444816053512,0.16515050167224082
26,fixed,39.0,737.0,698.0,137.0,228.91,4640.96,6.64893982808023,0.19627507163323782,0.3279512893982808
147,fixed,221.0,737.0,516.0,256.0,313.67,2532.34,4.907635658914729,0.49612403100775193,0.6078875968992249
213,fixed,320.0,737.0,417.0,301.0,322.74,1215.14,2.91400479616307,0.7218225419664268,0.7739568345323741
289,fixed,434.0,740.0,306.0,16.0,79.57,2858.28,9.340784313725491,0.05228758169934641,0.2600326797385621
89,fixed,134.0,742.0,608.0,315.0,376.93,3148.91,5.179128289473684,0.5180921052631579,0.6199506578947368
192,fixed,288.0,750.0,462.0,232.0,278.21,2499.32,5.40978354978355,0.5021645021645021,0.6021861471861472
280,fixed,420.0,751.0,331.0,136.0,174.65,2066.31,6.242628398791541,0.4108761329305136,0.527643504531722
101,fixed,152.0,755.0,603.0,246.0,320.38,3224.19,5.346915422885572,0.4079601990049751,0.5313101160862355
282,fixed,423.0,759.0,336.0,203.0,234.75,1291.24,3.8429761904761905,0.6041666666666666,0.6986607142857143
187,fixed,281.0,760.0,479.0,77.0,154.58,3556.27,7.424363256784969,0.16075156576200417,0.322713987473904
140,fixed,210.0,761.0,551.0,200.0,301.49,2885.99,5.237731397459164,0.3629764065335753,0.5471687840290381
436,fixed,654.0,762.0,108.0,0.0,14.02,961.13,8.899351851851852,0.0,0.1298148148148148
424,fixed,636.0,764.0,128.0,0.0,15.64,1102.39,8.612421875,0.0,0.1221875
408,fixed,612.0,768.0,156.0,0.0,13.54,1592.97,10.211346153846154,0.0,0.08679487179487179
366,fixed,549.0,773.0,224.0,61.0,105.93,1624.94,7.254196428571428,0.27232142857142855,0.47290178571428576
330,fixed,495.0,775.0,280.0,35.0,65.83,2258.63,8.066535714285715,0.125,0.23510714285714285
412,fixed,618.0,784.0,166.0,0.0,15.47,1583.39,9.538493975903615,0.0,0.09319277108433735
160,fixed,240.0,785.0,545.0,141.0,209.39,2989.35,5.485045871559633,0.25871559633027524,0.3842018348623853
429,fixed,644.0,792.0,148.0,0.0,23.16,1839.75,12.430743243243244,0.0,0.1564864864864865
15,fixed,23.0,797.0,774.0,540.0,592.95,2734.05,3.5323643410852714,0.6976744186046512,0.7660852713178296
339,fixed,509.0,798.0,289.0,121.0,153.07,2289.18,7.921038062283737,0.4186851211072664,0.5296539792387543
162,fixed,243.0,801.0,558.0,330.0,386.01,2312.02,4.143405017921147,0.5913978494623656,0.6917741935483871
355,fixed,535.0,801.0,266.0,167.0,214.03,736.75,2.7697368421052633,0.6278195488721805,0.8046240601503759
250,fixed,375.0,805.0,430.0,104.0,146.59,3103.95,7.218488372093023,0.24186046511627907,0.3409069767441861
174,fixed,261.0,808.0,547.0,267.0,344.99,2825.03,5.164588665447898,0.48811700182815354,0.6306946983546619
492,fixed,738.0,809.0,71.0,0.0,11.2,758.02,10.676338028169013,0.0,0.15774647887323942
362,fixed,543.0,811.0,268.0,186.0,221.54,810.99,3.0260820895522387,0.6940298507462687,0.8266417910447761
504,fixed,756.0,814.0,58.0,0.0,7.53,604.95,10.430172413793104,0.0,0.12982758620689655
73,fixed,110.0,817.0,707.0,388.0,458.2,3095.32,4.378104667609619,0.5487977369165488,0.6480905233380481
117,fixed,176.0,819.0,643.0,313.0,394.39,3849.3,5.98646967340591,0.4867807153965785,0.6133592534992224
29,fixed,44.0,821.0,777.0,636.0,688.89,1193.14,1.5355727155727157,0.8185328185328186,0.8866023166023166
349,fixed,524.0,823.0,299.0,125.0,157.72,1603.67,5.363444816053512,0.4180602006688963,0.5274916387959866
384,fixed,576.0,831.0,255.0,20.0,49.03,2290.16,8.981019607843137,0.0784313725490196,0.19227450980392158
465,fixed,698.0,840.0,142.0,1.0,21.77,1478.59,10.412605633802816,0.007042253521126761,0.15330985915492956
419,fixed,629.0,842.0,213.0,28.0,67.8,1283.9,6.027699530516433,0.13145539906103287,0.31830985915492954
541,fixed,812.0,845.0,33.0,0.0,8.32,95.04,2.8800000000000003,0.0,0.25212121212121213
536,fixed,804.0,848.0,44.0,0.0,8.84,429.74,9.766818181818183,0.0,0.2009090909090909
27,fixed,41.0,849.0,808.0,625.0,676.28,1826.24,2.2601980198019804,0.7735148514851485,0.836980198019802
244,fixed,366.0,864.0,498.0,291.0,348.59,1920.58,3.856586345381526,0.5843373493975904,0.6999799196787148
559,fixed,839.0,868.0,29.0,0.0,5.28,229.97,7.93,0.0,0.1820689655172414
