traffic_light_id,phase_index,duration,state,green_count,yellow_count,red_count,total_cycle_time
3191696090,3,4.0,rryyyy,0,4,2,90.0
3191696092,0,41.0,GGGrr,3,0,2,90.0
3191696092,1,4.0,yyyrr,0,3,2,90.0
3191696092,2,41.0,rrrGG,2,0,3,90.0
3191696092,3,4.0,rrryy,0,2,3,90.0
3354483657,0,40.0,GgGrr,2,0,2,90.0
3354483657,1,5.0,yyGrr,1,2,2,90.0
3354483657,2,40.0,rrGGG,3,0,2,90.0
3354483657,3,5.0,rrGyy,1,2,2,90.0
3646111619,0,81.0,GG,2,0,0,90.0
3646111619,1,4.0,yy,0,2,0,90.0
3646111619,2,5.0,rr,0,0,2,90.0
3646111620,0,81.0,GGG,3,0,0,90.0
3646111620,1,4.0,yyy,0,3,0,90.0
3646111620,2,5.0,rrr,0,0,3,90.0
3646111627,0,81.0,GG,2,0,0,90.0
3646111627,1,4.0,yy,0,2,0,90.0
3646111627,2,5.0,rr,0,0,2,90.0
3646111630,0,81.0,GG,2,0,0,90.0
3646111630,1,4.0,yy,0,2,0,90.0
3646111630,2,5.0,rr,0,0,2,90.0
403875011,0,41.0,GGGGrrrrr,4,0,5,90.0
403875011,1,4.0,yyyyrrrrr,0,4,5,90.0
403875011,2,41.0,rrrrGGGGG,5,0,4,90.0
403875011,3,4.0,rrrryyyyy,0,5,4,90.0
4324726612,0,81.0,GG,2,0,0,90.0
4324726612,1,4.0,yy,0,2,0,90.0
4324726612,2,5.0,rr,0,0,2,90.0
4793209901,0,41.0,GGGGrrr,4,0,3,90.0
4793209901,1,4.0,yyyyrrr,0,4,3,90.0
4793209901,2,41.0,rrrrGGG,3,0,4,90.0
4793209901,3,4.0,rrrryyy,0,3,4,90.0
5220461443,0,41.0,GGrrr,2,0,3,90.0
5220461443,1,4.0,yyrrr,0,2,3,90.0
5220461443,2,41.0,rrGGG,3,0,2,90.0
5220461443,3,4.0,rryyy,0,3,2,90.0
618514969,0,40.0,GGGGrrrr,4,0,4,90.0
618514969,1,5.0,yyyyrrrr,0,4,4,90.0
618514969,2,40.0,rrrrGGGG,4,0,4,90.0
618514969,3,5.0,rrrryyyy,0,4,4,90.0
618528183,0,39.0,GGGGGrrr,5,0,3,90.0
618528183,1,6.0,yyyyGrrr,1,4,3,90.0
618528183,2,39.0,rrrrGGGG,4,0,4,90.0
618528183,3,6.0,rrrrGyyy,1,3,4,90.0
618540121,0,41.0,GGGrrr,3,0,3,90.0
618540121,1,4.0,yyyrrr,0,3,3,90.0
618540121,2,41.0,rrrGGG,3,0,3,90.0
618540121,3,4.0,rrryyy,0,3,3,90.0
618542191,0,41.0,GGgrrrrGgg,3,0,4,90.0
618542191,1,4.0,yyyrrrryyy,0,6,4,90.0
618542191,2,41.0,rrrGGGGrrr,4,0,6,90.0
618542191,3,4.0,rrryyyyrrr,0,4,6,90.0
618542192,0,41.0,GGGgGrrrr,4,0,4,90.0
618542192,1,4.0,yyyyGrrrr,1,4,4,90.0
618542192,2,41.0,rrrrGGGGG,5,0,4,90.0
618542192,3,4.0,rrrrGyyyy,1,4,4,90.0
619274591,0,81.0,GGG,3,0,0,90.0
619274591,1,4.0,yyy,0,3,0,90.0
619274591,2,5.0,rrr,0,0,3,90.0
619274598,0,81.0,GG,2,0,0,90.0
619274598,1,4.0,yy,0,2,0,90.0
619274598,2,5.0,rr,0,0,2,90.0
6230792100,0,41.0,GGrrr,2,0,3,90.0
6230792100,1,4.0,yyrrr,0,2,3,90.0
6230792100,2,41.0,rrGGG,3,0,2,90.0
6230792100,3,4.0,rryyy,0,3,2,90.0
6230885416,0,40.0,GGGrrr,3,0,3,90.0
6230885416,1,5.0,yyyrrr,0,3,3,90.0
6230885416,2,40.0,rrrGGG,3,0,3,90.0
6230885416,3,5.0,rrryyy,0,3,3,90.0
635117662,0,41.0,GGGrrrr,3,0,4,90.0
635117662,1,4.0,yyyrrrr,0,3,4,90.0
635117662,2,41.0,rrrGGGG,4,0,3,90.0
635117662,3,4.0,rrryyyy,0,4,3,90.0
652533088,0,25.0,rrrrGGGGGrrrrrrrrr,5,0,13,90.0
652533088,1,5.0,rrrryyyyyrrrrrrrrr,0,5,13,90.0
652533088,2,25.0,GGggrrrrrGGggrrrrr,4,0,10,90.0
652533088,3,5.0,yyyyrrrrryyyyrrrrr,0,8,10,90.0
652533088,4,25.0,rrrrrrrrrrrrrGGGGG,5,0,13,90.0
652533088,5,5.0,rrrrrrrrrrrrryyyyy,0,5,13,90.0
662326592,0,81.0,GGG,3,0,0,90.0
662326592,1,4.0,yyy,0,3,0,90.0
662326592,2,5.0,rrr,0,0,3,90.0
662848124,0,39.0,GGGrrr,3,0,3,90.0
662848124,1,6.0,yyyrrr,0,3,3,90.0
662848124,2,39.0,rrrGGG,3,0,3,90.0
662848124,3,6.0,rrryyy,0,3,3,90.0
662901136,0,41.0,GGGGrrrrG,5,0,4,90.0
662901136,1,4.0,yyyyrrrrG,1,4,4,90.0
662901136,2,41.0,rrrrGGGGG,5,0,4,90.0
662901136,3,4.0,rrrryyyyG,1,4,4,90.0
662901137,0,41.0,GGGGrrrr,4,0,4,90.0
662901137,1,4.0,yyyyrrrr,0,4,4,90.0
662901137,2,41.0,rrrrGGGG,4,0,4,90.0
662901137,3,4.0,rrrryyyy,0,4,4,90.0
663702778,0,40.0,GgGrrr,2,0,3,90.0
663702778,1,5.0,yyGrrr,1,2,3,90.0
663702778,2,40.0,rrGGGG,4,0,2,90.0
663702778,3,5.0,rrGyyy,1,3,2,90.0
671432767,0,81.0,GGG,3,0,0,90.0
671432767,1,4.0,yyy,0,3,0,90.0
671432767,2,5.0,rrr,0,0,3,90.0
671432770,0,81.0,GG,2,0,0,90.0
671432770,1,4.0,yy,0,2,0,90.0
671432770,2,5.0,rr,0,0,2,90.0
672817127,0,82.0,G,1,0,0,90.0
672817127,1,3.0,y,0,1,0,90.0
672817127,2,5.0,r,0,0,1,90.0
