vehicle_id,duration,waiting_time,time_loss,route_length,average_speed,waiting_ratio,delay_ratio
0,68.0,0.0,7.87,863.15,12.693382352941176,0.0,0.11573529411764706
22,92.0,0.0,10.53,681.2,7.404347826086957,0.0,0.11445652173913043
28,87.0,0.0,9.68,719.84,8.274022988505747,0.0,0.11126436781609195
40,86.0,0.0,10.72,724.48,8.424186046511629,0.0,0.12465116279069768
23,146.0,45.0,67.45,674.91,4.622671232876712,0.3082191780821918,0.461986301369863
67,100.0,0.0,13.44,680.84,6.808400000000001,0.0,0.1344
18,179.0,58.0,82.27,1378.07,7.6987150837988825,0.3240223463687151,0.459608938547486
96,63.0,0.0,8.69,597.48,9.483809523809525,0.0,0.13793650793650794
113,71.0,14.0,31.28,522.3,7.356338028169014,0.19718309859154928,0.4405633802816902
55,160.0,25.0,46.14,1054.55,6.5909375,0.15625,0.288375
133,52.0,0.0,7.77,366.72,7.052307692307693,0.0,0.1494230769230769
94,112.0,0.0,11.53,931.88,8.320357142857143,0.0,0.10294642857142856
58,168.0,2.0,22.1,1799.25,10.709821428571429,0.011904761904761904,0.13154761904761905
30,212.0,59.0,88.5,1889.17,8.91117924528302,0.2783018867924528,0.41745283018867924
108,98.0,0.0,15.5,1028.79,10.497857142857143,0.0,0.15816326530612246
120,85.0,0.0,18.22,898.3,10.568235294117647,0.0,0.21435294117647058
57,181.0,10.0,39.22,1917.36,10.593149171270717,0.055248618784530384,0.21668508287292818
50,197.0,89.0,113.31,1041.79,5.288274111675126,0.4517766497461929,0.5751776649746193
33,231.0,28.0,65.18,1990.72,8.617835497835499,0.12121212121212122,0.2821645021645022
48,209.0,48.0,72.35,1809.09,8.655933014354067,0.22966507177033493,0.34617224880382774
118,108.0,30.0,50.61,916.69,8.487870370370372,0.2777777777777778,0.4686111111111111
126,96.0,0.0,17.17,1064.98,11.093541666666667,0.0,0.17885416666666668
3,285.0,77.0,134.67,2484.02,8.715859649122807,0.27017543859649124,0.4725263157894736
154,62.0,0.0,10.13,721.6,11.638709677419355,0.0,0.16338709677419355
128,104.0,0.0,16.66,1050.82,10.104038461538462,0.0,0.1601923076923077
10,282.0,73.0,111.53,2410.81,8.548971631205674,0.25886524822695034,0.3954964539007092
77,188.0,0.0,16.31,1854.3,9.863297872340425,0.0,0.08675531914893617
2,305.0,84.0,122.55,2705.54,8.870622950819673,0.2754098360655738,0.40180327868852456
34,258.0,0.0,30.86,2444.64,9.475348837209301,0.0,0.11961240310077519
88,182.0,35.0,73.0,1215.61,6.6791758241758235,0.19230769230769232,0.4010989010989011
14,300.0,139.0,173.46,1772.84,5.909466666666666,0.4633333333333333,0.5782
49,250.0,73.0,101.49,2025.02,8.10008,0.292,0.40596
29,283.0,158.0,194.99,1193.14,4.216042402826855,0.558303886925795,0.6890106007067138
119,150.0,0.0,21.47,1428.03,9.520199999999999,0.0,0.14313333333333333
91,200.0,42.0,68.59,1448.07,7.240349999999999,0.21,0.34295000000000003
66,241.0,98.0,130.84,1432.79,5.945186721991701,0.4066390041493776,0.5429045643153527
72,232.0,57.0,88.56,1837.95,7.922198275862069,0.24568965517241378,0.3817241379310345
85,236.0,98.0,129.89,1634.25,6.924788135593221,0.4152542372881356,0.5503813559322034
98,217.0,43.0,102.72,1657.14,7.636589861751153,0.19815668202764977,0.4733640552995392
69,262.0,0.0,25.14,2677.61,10.219885496183206,0.0,0.09595419847328245
115,196.0,40.0,67.42,1468.53,7.4925,0.20408163265306123,0.3439795918367347
106,212.0,24.0,69.38,2283.86,10.772924528301887,0.11320754716981132,0.3272641509433962
114,203.0,37.0,75.31,2090.0,10.295566502463053,0.18226600985221675,0.37098522167487685
131,178.0,0.0,19.87,1890.75,10.622191011235955,0.0,0.11162921348314607
83,252.0,118.0,148.99,1560.49,6.1924206349206345,0.46825396825396826,0.5912301587301587
210,64.0,0.0,14.78,526.73,8.23015625,0.0,0.2309375
47,309.0,9.0,55.51,2473.34,8.004336569579289,0.02912621359223301,0.1796440129449838
41,319.0,42.0,91.19,2607.46,8.17385579937304,0.13166144200626959,0.28586206896551725
176,118.0,4.0,25.52,753.03,6.381610169491525,0.03389830508474576,0.21627118644067797
52,305.0,33.0,97.0,3399.94,11.147344262295082,0.10819672131147541,0.3180327868852459
76,269.0,90.0,118.44,1920.07,7.137806691449814,0.3345724907063197,0.4402973977695167
138,177.0,0.0,14.86,1697.73,9.591694915254237,0.0,0.083954802259887
116,214.0,0.0,30.02,1660.12,7.757570093457943,0.0,0.1402803738317757
37,333.0,0.0,73.26,3492.56,10.488168168168167,0.0,0.22000000000000003
68,287.0,56.0,95.71,2631.91,9.170418118466898,0.1951219512195122,0.3334843205574913
139,179.0,2.0,30.07,1670.3,9.331284916201117,0.0111731843575419,0.16798882681564245
181,120.0,23.0,41.45,1153.75,9.614583333333334,0.19166666666666668,0.3454166666666667
149,169.0,0.0,19.99,1956.38,11.57621301775148,0.0,0.11828402366863905
80,274.0,55.0,95.4,2921.71,10.663175182481751,0.20072992700729927,0.34817518248175183
20,367.0,0.0,42.73,2921.37,7.960136239782016,0.0,0.11643051771117166
95,258.0,64.0,107.63,2119.53,8.215232558139535,0.24806201550387597,0.4171705426356589
60,314.0,58.0,109.25,2626.66,8.36515923566879,0.18471337579617833,0.3479299363057325
27,365.0,196.0,233.43,1826.24,5.003397260273973,0.536986301369863,0.6395342465753425
42,345.0,90.0,126.85,2856.89,8.280840579710144,0.2608695652173913,0.36768115942028984
79,292.0,0.0,37.77,2003.83,6.8624315068493145,0.0,0.12934931506849315
167,164.0,39.0,69.79,1431.87,8.730914634146341,0.23780487804878048,0.4255487804878049
75,303.0,96.0,135.88,1839.98,6.0725412541254125,0.31683168316831684,0.44844884488448844
45,356.0,133.0,185.75,2330.2,6.545505617977527,0.37359550561797755,0.5217696629213483
159,186.0,1.0,28.03,1842.83,9.907688172043011,0.005376344086021506,0.1506989247311828
170,179.0,0.0,20.87,1876.8,10.484916201117318,0.0,0.11659217877094973
136,232.0,42.0,93.01,2281.1,9.832327586206896,0.1810344827586207,0.40090517241379314
1,437.0,238.0,270.75,2037.27,4.661945080091533,0.5446224256292906,0.6195652173913043
61,349.0,64.0,111.18,3020.11,8.653610315186247,0.1833810888252149,0.318567335243553
19,415.0,187.0,243.92,2818.55,6.791686746987952,0.4506024096385542,0.5877590361445783
186,165.0,0.0,23.0,1297.93,7.866242424242425,0.0,0.1393939393939394
111,281.0,48.0,77.15,2170.42,7.723914590747331,0.1708185053380783,0.27455516014234876
129,256.0,0.0,21.87,2380.4,9.2984375,0.0,0.0854296875
9,447.0,101.0,165.6,4300.25,9.620246085011185,0.22595078299776286,0.3704697986577181
97,319.0,179.0,200.81,1763.16,5.527147335423198,0.5611285266457681,0.6294984326018809
36,413.0,52.0,110.79,3374.99,8.171888619854721,0.12590799031476999,0.2682566585956417
13,448.0,97.0,174.05,4546.07,10.147477678571429,0.21651785714285715,0.38850446428571433
44,403.0,164.0,220.55,3111.92,7.721885856079405,0.40694789081885857,0.5472704714640199
153,246.0,5.0,42.67,2181.53,8.868008130081302,0.02032520325203252,0.17345528455284553
56,395.0,36.0,77.26,3600.76,9.115848101265824,0.09113924050632911,0.19559493670886077
130,284.0,75.0,122.44,2191.49,7.7165140845070415,0.2640845070422535,0.4311267605633803
62,391.0,110.0,167.74,3483.6,8.909462915601022,0.2813299232736573,0.4290025575447571
65,387.0,122.0,167.42,2627.63,6.789741602067184,0.3152454780361757,0.43260981912144697
206,177.0,21.0,40.06,2062.44,11.65220338983051,0.11864406779661017,0.22632768361581923
99,338.0,35.0,77.99,3596.92,10.641775147928994,0.10355029585798817,0.2307396449704142
46,420.0,173.0,239.88,2114.75,5.035119047619047,0.4119047619047619,0.5711428571428572
24,455.0,25.0,69.24,3561.6,7.827692307692307,0.054945054945054944,0.15217582417582418
216,170.0,31.0,60.23,1525.36,8.97270588235294,0.18235294117647058,0.3542941176470588
38,437.0,128.0,188.04,2627.11,6.011693363844394,0.2929061784897025,0.4302974828375286
162,255.0,44.0,83.33,2312.02,9.066745098039215,0.17254901960784313,0.3267843137254902
163,253.0,60.0,91.03,2420.79,9.568339920948617,0.23715415019762845,0.35980237154150196
191,216.0,41.0,77.97,1398.62,6.475092592592592,0.18981481481481483,0.3609722222222222
73,396.0,87.0,147.2,3095.32,7.816464646464647,0.2196969696969697,0.37171717171717167
213,186.0,65.0,90.34,1242.6,6.680645161290322,0.34946236559139787,0.4856989247311828
89,373.0,90.0,142.06,3148.91,8.442117962466488,0.24128686327077747,0.380857908847185
101,358.0,30.0,76.14,3224.19,9.006117318435754,0.08379888268156424,0.21268156424581006
168,261.0,85.0,122.0,1550.99,5.942490421455939,0.32567049808429116,0.4674329501915709
64,423.0,5.0,58.34,3750.54,8.866524822695036,0.01182033096926714,0.137919621749409
110,354.0,34.0,89.33,3982.75,11.250706214689265,0.096045197740113,0.25234463276836155
232,173.0,0.0,19.96,1452.23,8.394393063583815,0.0,0.11537572254335261
230,178.0,102.0,133.75,599.69,3.3690449438202252,0.5730337078651685,0.7514044943820225
301,74.0,13.0,27.13,440.15,5.9479729729729724,0.17567567567567569,0.3666216216216216
81,405.0,79.0,136.46,3875.11,9.568172839506174,0.19506172839506172,0.3369382716049383
127,339.0,74.0,114.04,2678.73,7.901858407079646,0.2182890855457227,0.336401179941003
243,165.0,44.0,75.33,1131.73,6.858969696969697,0.26666666666666666,0.45654545454545453
281,110.0,9.0,30.02,1345.48,12.231636363636364,0.08181818181818182,0.2729090909090909
140,326.0,35.0,76.6,2885.99,8.852730061349693,0.10736196319018405,0.2349693251533742
151,309.0,111.0,153.2,1818.27,5.884368932038835,0.3592233009708738,0.4957928802588996
175,273.0,73.0,118.21,1724.18,6.315677655677656,0.2673992673992674,0.433003663003663
70,433.0,54.0,122.72,4600.48,10.624665127020783,0.12471131639722864,0.2834180138568129
226,201.0,106.0,129.36,1064.75,5.29726368159204,0.527363184079602,0.6435820895522388
39,482.0,221.0,292.87,2791.01,5.790477178423237,0.45850622406639,0.6076141078838174
282,119.0,0.0,18.2,1291.24,10.850756302521008,0.0,0.15294117647058822
194,253.0,62.0,102.92,2192.89,8.667549407114624,0.2450592885375494,0.40679841897233204
158,308.0,20.0,64.58,2733.87,8.876201298701298,0.06493506493506493,0.20967532467532468
192,259.0,21.0,75.41,2499.32,9.64988416988417,0.08108108108108109,0.29115830115830116
171,291.0,100.0,147.49,1862.76,6.401237113402062,0.3436426116838488,0.5068384879725086
112,383.0,101.0,168.01,2849.99,7.441227154046997,0.26370757180156656,0.43866840731070494
228,211.0,70.0,97.66,1974.47,9.357677725118483,0.33175355450236965,0.4628436018957346
102,402.0,152.0,203.26,3295.31,8.19728855721393,0.3781094527363184,0.5056218905472637
21,524.0,192.0,270.9,4023.44,7.678320610687023,0.366412213740458,0.5169847328244275
8,546.0,144.0,224.41,4583.47,8.394633699633701,0.26373626373626374,0.411007326007326
7,549.0,31.0,86.28,4515.32,8.22462659380692,0.056466302367941715,0.1571584699453552
144,344.0,51.0,85.91,2587.69,7.522354651162791,0.14825581395348839,0.24973837209302324
86,435.0,234.0,274.5,2365.65,5.4382758620689655,0.5379310344827586,0.6310344827586207
123,380.0,94.0,135.67,3473.32,9.140315789473684,0.24736842105263157,0.35702631578947364
74,456.0,121.0,193.99,3654.07,8.013311403508773,0.26535087719298245,0.42541666666666667
125,379.0,119.0,178.0,3342.29,8.818707124010555,0.31398416886543534,0.46965699208443273
183,293.0,37.0,95.98,2694.25,9.195392491467576,0.12627986348122866,0.3275767918088737
31,524.0,403.0,447.82,1167.15,2.2273854961832065,0.7690839694656488,0.854618320610687
51,494.0,218.0,288.77,2759.75,5.586538461538462,0.44129554655870445,0.5845546558704453
135,373.0,0.0,39.17,3972.09,10.649034852546917,0.0,0.10501340482573727
202,275.0,135.0,170.3,1214.61,4.416763636363636,0.4909090909090909,0.6192727272727273
293,139.0,47.0,75.55,901.94,6.488776978417267,0.3381294964028777,0.543525179856115
234,229.0,3.0,35.16,1762.16,7.695021834061135,0.013100436681222707,0.15353711790393013
219,254.0,0.0,27.83,2166.93,8.531220472440944,0.0,0.10956692913385827
43,521.0,151.0,238.64,4231.57,8.122015355086372,0.28982725527831094,0.45804222648752396
93,446.0,128.0,202.09,3176.28,7.12170403587444,0.28699551569506726,0.45311659192825116
363,42.0,0.0,9.19,349.18,8.313809523809525,0.0,0.2188095238095238
269,184.0,16.0,41.28,1604.14,8.718152173913044,0.08695652173913043,0.22434782608695653
100,447.0,110.0,207.03,4524.91,10.122841163310962,0.24608501118568232,0.4631543624161074
290,163.0,8.0,26.14,1490.88,9.146503067484664,0.049079754601226995,0.1603680981595092
296,157.0,54.0,83.85,1325.86,8.444968152866242,0.34394904458598724,0.534076433121019
261,210.0,14.0,44.6,1811.68,8.62704761904762,0.06666666666666667,0.2123809523809524
177,338.0,97.0,154.78,2905.14,8.59508875739645,0.2869822485207101,0.4579289940828402
54,524.0,121.0,208.71,4990.39,9.52364503816794,0.23091603053435114,0.39830152671755725
59,517.0,205.0,264.19,3479.86,6.730870406189555,0.3965183752417795,0.5110058027079304
354,78.0,0.0,10.23,553.07,7.090641025641026,0.0,0.13115384615384615
225,272.0,91.0,135.75,1389.46,5.108308823529412,0.33455882352941174,0.4990808823529412
362,73.0,9.0,27.6,811.12,11.111232876712329,0.1232876712328767,0.3780821917808219
332,118.0,49.0,64.43,652.06,5.52593220338983,0.4152542372881356,0.5460169491525424
375,60.0,0.0,11.3,191.93,3.1988333333333334,0.0,0.18833333333333335
368,74.0,21.0,31.39,426.76,5.7670270270270265,0.28378378378378377,0.4241891891891892
147,406.0,153.0,203.33,2532.34,6.237290640394089,0.3768472906403941,0.5008128078817734
161,388.0,15.0,72.64,3963.15,10.21430412371134,0.03865979381443299,0.18721649484536082
145,413.0,149.0,201.46,3339.45,8.085835351089587,0.36077481840193704,0.48779661016949155
174,374.0,123.0,171.35,2825.03,7.5535561497326205,0.32887700534759357,0.4581550802139037
12,619.0,167.0,241.18,5116.07,8.265056542810985,0.26978998384491115,0.3896284329563813
117,461.0,139.0,213.21,3849.3,8.349891540130152,0.30151843817787416,0.4624945770065076
218,311.0,2.0,34.82,3105.36,9.98508038585209,0.006430868167202572,0.11196141479099679
32,593.0,144.0,226.49,4184.66,7.056762225969646,0.24283305227655985,0.38193929173693086
82,521.0,134.0,213.37,4722.07,9.063474088291747,0.2571976967370441,0.4095393474088292
237,288.0,0.0,47.36,1560.03,5.4167708333333335,0.0,0.16444444444444445
223,310.0,76.0,132.15,2097.31,6.765516129032258,0.24516129032258063,0.4262903225806452
335,142.0,12.0,28.94,959.93,6.760070422535211,0.08450704225352113,0.20380281690140847
406,36.0,0.0,4.13,241.08,6.696666666666667,0.0,0.11472222222222223
212,328.0,114.0,159.2,2150.07,6.555091463414635,0.3475609756097561,0.4853658536585366
259,257.0,85.0,119.93,1261.42,4.908249027237354,0.33073929961089493,0.4666536964980545
297,201.0,16.0,34.46,1773.61,8.823930348258706,0.07960199004975124,0.17144278606965174
146,430.0,138.0,180.64,3038.46,7.066186046511628,0.3209302325581395,0.42009302325581394
221,317.0,126.0,189.23,1964.31,6.196561514195583,0.39747634069400634,0.5969400630914826
315,173.0,15.0,44.59,1876.0,10.84393063583815,0.08670520231213873,0.2577456647398844
220,324.0,106.0,162.34,2334.17,7.204228395061729,0.3271604938271605,0.5010493827160494
273,246.0,56.0,85.91,1882.51,7.652479674796748,0.22764227642276422,0.3492276422764227
103,505.0,186.0,251.84,2841.87,5.627465346534653,0.3683168316831683,0.4986930693069307
334,160.0,75.0,107.52,1062.54,6.640874999999999,0.46875,0.6719999999999999
300,213.0,1.0,30.19,2823.28,13.254835680751174,0.004694835680751174,0.14173708920187794
336,159.0,34.0,76.39,1339.66,8.42553459119497,0.2138364779874214,0.48044025157232706
386,84.0,0.0,13.52,826.78,9.842619047619047,0.0,0.16095238095238096
173,404.0,128.0,219.39,3516.28,8.703663366336635,0.31683168316831684,0.5430445544554455
180,394.0,100.0,148.35,3002.59,7.620786802030457,0.25380710659898476,0.3765228426395939
26,627.0,90.0,157.92,4640.96,7.401850079744817,0.14354066985645933,0.25186602870813396
121,484.0,92.0,172.76,4577.66,9.45797520661157,0.19008264462809918,0.35694214876033054
271,261.0,5.0,32.48,2213.43,8.480574712643678,0.019157088122605363,0.12444444444444443
280,248.0,57.0,91.28,2066.31,8.331895161290323,0.22983870967741934,0.36806451612903224
164,424.0,67.0,152.08,3485.05,8.219457547169812,0.1580188679245283,0.3586792452830189
78,555.0,223.0,292.83,4036.44,7.272864864864865,0.4018018018018018,0.5276216216216216
361,131.0,0.0,14.3,1122.88,8.571603053435116,0.0,0.10916030534351145
155,442.0,149.0,216.35,3313.48,7.496561085972851,0.33710407239819007,0.48947963800904976
287,245.0,23.0,60.18,2123.74,8.668326530612244,0.09387755102040816,0.24563265306122448
277,262.0,7.0,44.84,2789.11,10.645458015267176,0.026717557251908396,0.17114503816793894
319,200.0,0.0,23.8,1711.63,8.558150000000001,0.0,0.11900000000000001
196,386.0,180.0,247.89,2312.99,5.992202072538859,0.46632124352331605,0.6422020725388601
233,333.0,121.0,180.38,2267.46,6.80918918918919,0.3633633633633634,0.5416816816816816
242,320.0,13.0,68.16,2858.13,8.93165625,0.040625,0.213
265,286.0,96.0,156.09,1873.84,6.551888111888112,0.3356643356643357,0.5457692307692308
355,151.0,50.0,99.35,736.75,4.879139072847682,0.33112582781456956,0.6579470198675497
285,260.0,67.0,116.69,2026.79,7.795346153846154,0.25769230769230766,0.4488076923076923
204,388.0,134.0,204.07,3047.92,7.855463917525773,0.34536082474226804,0.5259536082474227
272,287.0,50.0,112.23,2599.62,9.057909407665505,0.17421602787456447,0.3910452961672474
349,171.0,3.0,30.67,1603.67,9.378187134502925,0.017543859649122806,0.17935672514619885
318,219.0,83.0,134.88,1000.0,4.566210045662101,0.3789954337899543,0.6158904109589041
240,338.0,18.0,61.81,3041.33,8.99801775147929,0.05325443786982249,0.1828698224852071
291,263.0,55.0,81.2,2073.98,7.885855513307985,0.20912547528517111,0.308745247148289
339,193.0,28.0,58.36,2289.18,11.86103626943005,0.14507772020725387,0.3023834196891192
278,287.0,63.0,118.37,1978.1,6.892334494773519,0.21951219512195122,0.41243902439024394
371,148.0,10.0,31.8,2267.48,15.32081081081081,0.06756756756756757,0.21486486486486486
160,467.0,69.0,131.52,2989.35,6.401177730192719,0.14775160599571735,0.281627408993576
257,321.0,70.0,162.3,3262.59,10.163831775700935,0.21806853582554517,0.5056074766355141
250,336.0,12.0,52.17,3103.95,9.237946428571428,0.03571428571428571,0.15526785714285715
195,423.0,97.0,154.24,2245.72,5.30903073286052,0.2293144208037825,0.36463356973995276
238,359.0,71.0,139.17,3119.91,8.690557103064066,0.1977715877437326,0.38766016713091916
172,468.0,167.0,230.47,3368.08,7.196752136752137,0.35683760683760685,0.49245726495726494
258,339.0,69.0,137.21,2805.83,8.276784660766962,0.20353982300884957,0.40474926253687316
244,362.0,151.0,212.43,1920.49,5.305220994475138,0.4171270718232044,0.5868232044198896
241,367.0,133.0,178.48,2153.16,5.86692098092643,0.36239782016348776,0.48632152588555855
302,276.0,21.0,56.56,2958.95,10.720833333333333,0.07608695652173914,0.20492753623188406
288,299.0,3.0,48.56,3221.82,10.775317725752508,0.010033444816053512,0.16240802675585286
304,275.0,63.0,120.99,1297.62,4.718618181818181,0.2290909090909091,0.43996363636363633
253,352.0,149.0,205.91,2137.92,6.073636363636364,0.42329545454545453,0.5849715909090909
179,464.0,152.0,214.32,3130.27,6.746271551724138,0.3275862068965517,0.4618965517241379
366,187.0,33.0,69.33,1624.94,8.68951871657754,0.17647058823529413,0.37074866310160426
189,456.0,113.0,187.9,4208.6,9.229385964912282,0.24780701754385964,0.41206140350877196
