KPI,Fixed,Adaptive,Difference (Fixed - Adaptive)
Average Waiting Time (s),364.8480589022758,209.60348042262274,155.24457847965306
Average Time Loss (s),426.4430589022757,268.8251646985705,157.6178942037052
Average Speed (m/s),5.381655142273332,6.832344312007372,-1.4506891697340398
Waiting Ratio,0.4290331972826669,0.3028698321169253,0.12616336516574161
Delay Ratio,0.5467369727823307,0.44725569359555634,0.09948127918677435
