edge_id,from_node,to_node,num_lanes,speed_limit,priority,vehicle_count,avg_waiting_time,avg_time_loss,traffic_score,traffic_level,is_high_traffic,system_type
-1094392854,672777608,10023252752,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1094392855,10023252754,10023252755,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1094392856,6659001360,10023252756,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1094975080,3832039760,10027917452,1,8.33,1,0,0.0,0.0,0.0,high,1,fixed
-1095347728,5510037826,10031198111,1,2.78,2,0,0.0,0.0,0.0,high,1,fixed
-1097159021,3800051498,10046351112,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1097159022,cluster_644607675_644607757,10046375320,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1100781736#0,12330294240,2094641283,1,13.89,11,0,0.0,0.0,0.0,high,1,fixed
-1100781736#1,12330294245,12330294240,1,13.89,11,0,0.0,0.0,0.0,high,1,fixed
-1100781736#2,cluster_3132625455_3132625456_3132625457_3141885394_#1more,12330294245,1,13.89,11,0,0.0,0.0,0.0,high,1,fixed
-1103777292,2094344633,2094344650,1,8.33,1,0,0.0,0.0,0.0,high,1,fixed
-1106039971,644610679,673996066,1,8.33,3,0,0.0,0.0,0.0,high,1,fixed
-1112257651,10175609345,10175609346,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1112257652,2145049309,2145049297,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1112257653,10175609348,2145049302,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1112257654,10175609357,10175609358,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1115190337,5499217650,10199250397,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1116740479,10213599697,2131864630,1,8.33,3,0,0.0,0.0,0.0,high,1,fixed
-1116740480#0,673080443,10213599697,1,8.33,3,0,0.0,0.0,0.0,high,1,fixed
-1116740480#1,10213598995,673080443,1,8.33,3,0,0.0,0.0,0.0,high,1,fixed
-1116740481,10213616541,10213632312,1,8.33,3,0,0.0,0.0,0.0,high,1,fixed
-1116740482,10213632312,3800003068,1,8.33,3,0,0.0,0.0,0.0,high,1,fixed
-1116740484#0,6531724708,3993517282,1,8.33,3,0,0.0,0.0,0.0,high,1,fixed
-1116740484#1,673080453,6531724708,1,8.33,3,0,0.0,0.0,0.0,high,1,fixed
-1116740485,10213630024,3800003068,1,8.33,3,0,0.0,0.0,0.0,high,1,fixed
-1116740486#0,6531698966,10213630024,1,8.33,3,0,0.0,0.0,0.0,high,1,fixed
-1116740486#1,3993517282,6531698966,1,8.33,3,0,0.0,0.0,0.0,high,1,fixed
-1116740487#0,cluster_10219054417_10219054418_1307349788_1307349789_#1more,673080453,1,8.33,3,0,0.0,0.0,0.0,high,1,fixed
-1116759186,10213791469,8594002891,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1118619585#0,10230717957,10230717958,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1118619585#1,10230717955,10230717957,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1118619586,10230717957,10230717956,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1119514315,cluster_10219054419_10219054420_635166201_662848128,10239515741,1,8.33,3,0,0.0,0.0,0.0,high,1,fixed
-1119517191,622290309,3354690385,1,11.11,10,0,0.0,0.0,0.0,high,1,fixed
-1120542174#0,10248689106,10248689100,1,2.78,2,0,0.0,0.0,0.0,high,1,fixed
-1120542174#1,10248689094,10248689106,1,2.78,2,0,0.0,0.0,0.0,high,1,fixed
-1120542176,10248689106,5627560768,1,2.78,2,0,0.0,0.0,0.0,high,1,fixed
-1140757806,270333409,10629326906,1,13.89,3,0,0.0,0.0,0.0,high,1,fixed
-1140757807,10629326916,10629326917,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1140757808,6658706180,10629326931,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1140757809,10629326932,10629326933,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1140776830,10629475715,10629475720,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1140776831,10629475721,10629475722,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1145605124,10660933003,10660932940,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1155932738,2509241716,9465694075,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1155932739,10749741387,10749741394,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1155932740,10749741395,10660932932,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1155932741,10749741400,10749741401,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1155932742,248608268,10749741402,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
