time,traffic_light_id,phase_duration,green_count,yellow_count,red_count,junction_pressure,average_network_pressure,control_type
180,cluster_10219054419_10219054420_635166201_662848128,55.0,14,0,10,,,fixed
180,cluster_10261690663_10261690664_2094306205_403875011_#2more,55.0,10,0,4,,,fixed
180,cluster_10555850724_619274591,30.0,3,0,0,,,fixed
180,cluster_10555850725_619274598,30.0,2,0,0,,,fixed
180,cluster_10660932937_10660933004,45.0,8,0,3,,,fixed
180,cluster_10660932949_10660932992,45.0,10,0,8,,,fixed
180,cluster_10660932965_10660932981_10660932982_10660932983,45.0,10,0,8,,,fixed
180,cluster_10660932989_4086342990,45.0,8,0,3,,,fixed
180,cluster_10660933002_6661798460,45.0,8,0,3,,,fixed
180,cluster_10869977167_6991380971,45.0,10,0,4,,,fixed
180,cluster_10996544533_619152165_663702778,45.0,10,0,0,,,fixed
180,cluster_12276950494_644610777_672777604,55.0,12,0,7,,,fixed
180,cluster_1428449258_650721754,45.0,8,0,3,,,fixed
180,cluster_1428449259_618500301,45.0,10,0,8,,,fixed
180,cluster_1985256181_1985256189_403874932,45.0,9,0,7,,,fixed
180,cluster_2066330708_3150421787_3150421800_6233418804_#8more,55.0,12,0,10,,,fixed
180,cluster_2094306193_4967065459,45.0,9,0,4,,,fixed
180,cluster_253022586_3150402309_4793209901_662901136_#1more,55.0,14,0,12,,,fixed
180,cluster_2578254849_619140979,45.0,8,0,3,,,fixed
180,cluster_270333418_3191696090_3191696091_3191696092_#1more,45.0,11,0,8,,,fixed
